date,group,fixed_basket_index,basket_n
2025-05-04,low,117.77576764585751,8
2025-05-11,low,118.61267751710216,8
2025-05-18,low,118.59842054953585,8
2025-05-25,low,118.56948748051349,8
2025-06-01,low,119.61048134105738,8
2025-06-08,low,119.35945863298198,8
2025-06-15,low,119.03273521216515,8
2025-06-22,low,118.77576764585751,8
2025-06-29,low,,8
2025-07-06,low,,8
2025-07-13,low,117.81010240980602,8
2025-07-20,low,117.8015187188189,8
2025-07-27,low,118.8916474741837,8
2025-08-03,low,118.8916474741837,8
2025-08-10,low,118.8916474741837,8
2025-08-17,low,118.8916474741837,8
2025-08-24,low,118.85926082744729,8
2025-08-31,low,118.82687418071086,8
2025-09-07,low,118.85926082744729,8
2025-09-14,low,118.8368393027836,8
2025-09-21,low,119.38376626014956,8
2025-09-28,low,119.91030528099748,8
2025-10-05,low,144.6852956027147,8
2025-10-12,low,144.6852956027147,8
2025-10-19,low,143.83319820590447,8
2025-10-26,low,143.79259174005375,8
2025-11-02,low,134.26123518017664,8
2025-11-09,low,148.06105437383434,8
2025-11-16,low,158.74122120976483,8
2025-11-23,low,142.10784813466626,8
2025-11-30,low,142.0471895558101,8
2025-12-07,low,146.3518197573657,8
2025-12-14,low,153.88214904679376,8
2025-12-21,low,168.10225303292893,8
2025-12-28,low,169.76603119584055,8
2026-01-04,low,172.5695827620994,8
2026-01-11,low,169.56698310871985,8
2026-01-18,low,169.48032799606818,8
2026-01-25,low,174.88138530070128,8
2026-02-01,low,174.88138530070128,8
2026-02-08,low,175.37313432835822,8
2026-02-15,low,173.00663636833136,8
2026-02-22,low,166.1764705882353,8
2026-03-01,low,161.82525951557093,8
2026-03-08,low,161.76470588235296,8
2026-03-15,low,161.0051993067591,8
2026-03-22,low,161.0051993067591,8
2026-03-29,low,161.0051993067591,8
2026-04-05,low,,8
2024-03-03,mid,100.0,84
2024-03-10,mid,100.0,84
2024-03-17,mid,100.0,84
2024-03-24,mid,100.0,84
2024-03-31,mid,100.0,84
2024-04-07,mid,100.0,84
2024-04-14,mid,100.0,84
2024-04-21,mid,100.47505371210312,84
2024-04-28,mid,100.23633325375985,84
2024-05-05,mid,100.22439723084268,84
2024-05-12,mid,100.0,84
2024-05-19,mid,100.0,84
2024-05-26,mid,100.0,84
2024-06-02,mid,100.0,84
2024-06-09,mid,100.0,84
2024-06-16,mid,100.0,84
2024-06-23,mid,100.0,84
2024-06-30,mid,100.0,84
2024-07-07,mid,100.0,84
2024-07-14,mid,100.0,84
2024-07-21,mid,100.0,84
2024-07-28,mid,100.0,84
2024-08-04,mid,100.00033265803752,84
2024-08-11,mid,100.56857378786663,84
2024-08-18,mid,100.5529407414457,84
2024-08-25,mid,100.52232766865299,84
2024-09-01,mid,100.0,84
2024-09-08,mid,100.0,84
2024-09-15,mid,100.0,84
2024-09-22,mid,100.0261910997881,84
2024-09-29,mid,100.0,84
2024-10-06,mid,100.0,84
2024-10-13,mid,100.0,84
2024-10-20,mid,100.0,84
2024-10-27,mid,100.0,84
2024-11-03,mid,100.0,84
2024-11-10,mid,100.0,84
2024-11-17,mid,100.0,84
2024-11-24,mid,100.0005071513549,84
2024-12-01,mid,100.08322534470227,84
2024-12-08,mid,100.04914125654194,84
2024-12-15,mid,101.87623514845592,84
2024-12-22,mid,102.89681612321084,84
2024-12-29,mid,104.28178983366539,84
2025-01-05,mid,105.80071907848033,84
2025-01-12,mid,109.0991271890306,84
2025-01-19,mid,110.1753406114464,84
2025-01-26,mid,110.4636321077802,84
2025-02-02,mid,110.4636321077802,84
2025-02-09,mid,110.4636321077802,84
2025-02-16,mid,110.57790835909225,84
2025-02-23,mid,112.22094696208714,84
2025-03-02,mid,112.67320335316519,84
2025-03-09,mid,114.04493095472554,84
2025-03-16,mid,114.04493095472554,84
2025-03-23,mid,115.62597556688469,84
2025-03-30,mid,115.74515869644358,84
2025-04-06,mid,115.84613381675443,84
2025-04-13,mid,116.36634750191733,84
2025-04-20,mid,117.17096867884561,84
2025-04-27,mid,117.87183089093267,84
2025-05-04,mid,117.44604316546763,84
2025-05-11,mid,116.43134360341914,84
2025-05-18,mid,117.3298692591351,84
2025-05-25,mid,117.3298692591351,84
2025-06-01,mid,116.58456486042692,84
2025-06-08,mid,116.8015734926999,84
2025-06-15,mid,116.58456486042692,84
2025-06-22,mid,117.35503678387302,84
2025-06-29,mid,,84
2025-07-06,mid,,84
2025-07-13,mid,116.58456486042692,84
2025-07-20,mid,116.31591905273945,84
2025-07-27,mid,116.1230959234263,84
2025-08-03,mid,115.65969607445597,84
2025-08-10,mid,115.66162698642569,84
2025-08-17,mid,117.01530401294727,84
2025-08-24,mid,117.01530401294727,84
2025-08-31,mid,116.58456486042692,84
2025-09-07,mid,117.75232641374373,84
2025-09-14,mid,117.16844563708533,84
2025-09-21,mid,113.51123724093924,84
2025-09-28,mid,113.43984369267605,84
2025-10-05,mid,114.56261880845358,84
2025-10-12,mid,114.56261880845358,84
2025-10-19,mid,114.72636032586884,84
2025-10-26,mid,114.98323835065369,84
2025-11-02,mid,105.9932047306957,84
2025-11-09,mid,107.42331333301254,84
2025-11-16,mid,107.56826680473768,84
2025-11-23,mid,108.973860684252,84
2025-11-30,mid,109.23566878980893,84
2025-12-07,mid,109.23566878980893,84
2025-12-14,mid,109.23566878980893,84
2025-12-21,mid,109.23566878980893,84
2025-12-28,mid,111.30502590000187,84
2026-01-04,mid,109.23566878980893,84
2026-01-11,mid,109.23566878980893,84
2026-01-18,mid,110.51181102362204,84
2026-01-25,mid,114.53947005498041,84
2026-02-01,mid,117.16112348250844,84
2026-02-08,mid,118.20271532217512,84
2026-02-15,mid,123.22335025380711,84
2026-02-22,mid,119.8443210403911,84
2026-03-01,mid,122.51630024540412,84
2026-03-08,mid,125.09219376943773,84
2026-03-15,mid,126.38998635155521,84
2026-03-22,mid,127.84134895169643,84
2026-03-29,mid,126.57579311804832,84
2026-04-05,mid,,84
