,gpu_index,log_btc_krw,log_usdkrw,log_nvda,log_gpu_index,ec_term,d_log_gpu,d_log_btc,d_log_usdkrw,d_log_nvda,ec_l1,d_log_btc_l0,d_log_btc_l1,d_log_btc_l2,d_log_btc_l3,d_log_btc_l4,d_log_btc_l5,d_log_btc_l6,d_log_btc_l7,d_log_btc_l8
2024-09-29,100.94356968250804,18.263727954156813,7.191164177348247,4.796915863014929,4.614561644686534,-0.023063021166851883,-1.842393697337741e-05,0.039711579530024466,0.0025410075728213855,0.04447823940931528,-0.023645876129440246,0.039711579530024466,0.04889924326305106,0.039964580011851325,-0.05372722862003343,-0.035645311759228804,0.025173260755213533,0.006822322947773074,-0.08369012135061382,-0.06877663740061735
2024-10-06,100.83095570250929,18.22793372770247,7.186563541720387,4.795222295031904,4.613445408714953,-0.024721222815643706,-0.0011162359715806147,-0.03579422645434249,-0.004600635627859617,-0.0016935679830254458,-0.023063021166851883,-0.03579422645434249,0.039711579530024466,0.04889924326305106,0.039964580011851325,-0.05372722862003343,-0.035645311759228804,0.025173260755213533,0.006822322947773074,-0.08369012135061382
2024-10-13,100.76393403330252,18.2395672585153,7.20374815353335,4.8865504365066705,4.61278049432388,-0.025209992195917685,-0.0006649143910726352,0.011633530812829918,0.01718461181296238,0.09132814147476687,-0.024721222815643706,0.011633530812829918,-0.03579422645434249,0.039711579530024466,0.04889924326305106,0.039964580011851325,-0.05372722862003343,-0.035645311759228804,0.025173260755213533,0.006822322947773074
2024-10-20,100.73689613261378,18.34302256167967,7.215670830473694,4.9125725612361375,4.612512129167977,-0.023911925304124004,-0.00026836515590300536,0.10345530316437035,0.01192267694034399,0.026022124729466967,-0.025209992195917685,0.10345530316437035,0.011633530812829918,-0.03579422645434249,0.039711579530024466,0.04889924326305106,0.039964580011851325,-0.05372722862003343,-0.035645311759228804,0.025173260755213533
2024-10-27,100.68942773673332,18.348076076994698,7.226322819052337,4.953684109820701,4.612040806494284,-0.024306731954946592,-0.00047132267369320857,0.005053515315026402,0.010651988578643135,0.04111154858456345,-0.023911925304124004,0.005053515315026402,0.10345530316437035,0.011633530812829918,-0.03579422645434249,0.039711579530024466,0.04889924326305106,0.039964580011851325,-0.05372722862003343,-0.035645311759228804
2024-11-03,100.58789492733877,18.391323149144405,7.230456879680029,4.925518416033112,4.611031921671466,-0.024660806461499263,-0.0010088848228182457,0.04324707214970758,0.004134060627691838,-0.028165693787588708,-0.024306731954946592,0.04324707214970758,0.005053515315026402,0.10345530316437035,0.011633530812829918,-0.03579422645434249,0.039711579530024466,0.04889924326305106,0.039964580011851325,-0.05372722862003343
2024-11-10,100.65850829077635,18.456021946092132,7.230113603961574,4.9661642383763835,4.611733681953451,-0.02297943212507203,0.0007017602819852087,0.06469879694772729,-0.0003432757184542723,0.0406458223432713,-0.024660806461499263,0.06469879694772729,0.04324707214970758,0.005053515315026402,0.10345530316437035,0.011633530812829918,-0.03579422645434249,0.039711579530024466,0.04889924326305106,0.039964580011851325
2024-11-17,100.64333681506363,18.645790074434558,7.244829047224847,4.981130249113151,4.611582948355024,-0.020256858422907698,-0.00015073359842698864,0.1897681283424255,0.01471544326327301,0.014966010736767288,-0.02297943212507203,0.1897681283424255,0.06469879694772729,0.04324707214970758,0.005053515315026402,0.10345530316437035,0.011633530812829918,-0.03579422645434249,0.039711579530024466,0.04889924326305106
2024-11-24,101.0348894970668,18.71353357274136,7.240392495481747,4.971548821599766,4.615465897755422,-0.015348194694436046,0.003882949400398239,0.06774349830680038,-0.004436551743100203,-0.009581427513384533,-0.020256858422907698,0.06774349830680038,0.1897681283424255,0.06469879694772729,0.04324707214970758,0.005053515315026402,0.10345530316437035,0.011633530812829918,-0.03579422645434249,0.039711579530024466
2024-12-01,101.19304755296722,18.7064023482086,7.240802776519999,4.916866620747873,4.617030054423913,-0.013892012951403743,0.001564156668490746,-0.007131224532759717,0.00041028103825180295,-0.054682200851893015,-0.015348194694436046,-0.007131224532759717,0.06774349830680038,0.1897681283424255,0.06469879694772729,0.04324707214970758,0.005053515315026402,0.10345530316437035,0.011633530812829918,-0.03579422645434249
2024-12-08,101.23355549597746,18.75266962727841,7.24755464469399,4.957445786413374,4.617430277941384,-0.012791249717959197,0.00040022351747115437,0.04626727906981287,0.0067518681739908715,0.040579165665501016,-0.013892012951403743,0.04626727906981287,-0.007131224532759717,0.06774349830680038,0.1897681283424255,0.06469879694772729,0.04324707214970758,0.005053515315026402,0.10345530316437035,0.011633530812829918
2024-12-15,101.89997393812888,18.78342565865184,7.264276834441946,4.919225195047582,4.623991684469361,-0.005764161569709714,0.006561406527977098,0.030756031373428527,0.016722189747956584,-0.0382205913657927,-0.012791249717959197,0.030756031373428527,0.04626727906981287,-0.007131224532759717,0.06774349830680038,0.1897681283424255,0.06469879694772729,0.04324707214970758,0.005053515315026402,0.10345530316437035
2024-12-22,102.40154595077055,18.787241428611026,7.271159603545118,4.877321959120135,4.62890180966694,-0.000796261234774498,0.0049101251975782745,0.003815769959185644,0.006882769103171427,-0.041903235927446936,-0.005764161569709714,0.003815769959185644,0.030756031373428527,0.04626727906981287,-0.007131224532759717,0.06774349830680038,0.1897681283424255,0.06469879694772729,0.04324707214970758,0.005053515315026402
2024-12-29,102.73847498530296,18.760513166223202,7.28152457805581,4.9355952340287,4.632186681492155,0.0020839140161434955,0.0032848718252154185,-0.026728262387823776,0.010364974510692626,0.05827327490856504,-0.000796261234774498,-0.026728262387823776,0.003815769959185644,0.030756031373428527,0.04626727906981287,-0.007131224532759717,0.06774349830680038,0.1897681283424255,0.06469879694772729,0.04324707214970758
2025-01-05,103.37986215192493,18.76554058875761,7.293927542217446,4.931202934925713,4.638410186355561,0.008383539827768516,0.006223504863405616,0.005027422534407577,0.012402964161635666,-0.004392299102986996,0.0020839140161434955,0.005027422534407577,-0.026728262387823776,0.003815769959185644,0.030756031373428527,0.04626727906981287,-0.007131224532759717,0.06774349830680038,0.1897681283424255,0.06469879694772729
2025-01-12,104.87850198332316,18.75868255900976,7.284824248966527,4.950645072643003,4.652802556204347,0.022672071233744262,0.014392369848786224,-0.00685802974784977,-0.009103293250919187,0.019442137717290642,0.008383539827768516,-0.00685802974784977,0.005027422534407577,-0.026728262387823776,0.003815769959185644,0.030756031373428527,0.04626727906981287,-0.007131224532759717,0.06774349830680038,0.1897681283424255
2025-01-19,105.20871422091236,18.80008497051216,7.2837086139103615,4.901122998204445,4.655946131672544,0.026442526738494898,0.003143575468197213,0.04140241150239987,-0.0011156350561654094,-0.04952207443855805,0.022672071233744262,0.04140241150239987,-0.00685802974784977,0.005027422534407577,-0.026728262387823776,0.003815769959185644,0.030756031373428527,0.04626727906981287,-0.007131224532759717,0.06774349830680038
2025-01-26,105.71670486991516,18.820405547335916,7.270560133487374,4.972315922520975,4.660762920785673,0.031566992711009156,0.00481678911312855,0.020320576823756653,-0.013148480422987774,0.0711929243165299,0.026442526738494898,0.020320576823756653,0.04140241150239987,-0.00685802974784977,0.005027422534407577,-0.026728262387823776,0.003815769959185644,0.030756031373428527,0.04626727906981287,-0.007131224532759717
2025-02-02,105.52642725104408,18.809135074474664,7.268725768982856,4.812755714551421,4.658961416817979,0.029594840846662862,-0.0018015039676937405,-0.011270472861252046,-0.0018343645045177936,-0.1595602079695544,0.031566992711009156,-0.011270472861252046,0.020320576823756653,0.04140241150239987,-0.00685802974784977,0.005027422534407577,-0.026728262387823776,0.003815769959185644,0.030756031373428527,0.04626727906981287
2025-02-09,106.40423743433207,18.76816042643664,7.279588073969826,4.816877591645757,4.667245401625169,0.037258422447186135,0.008283984807190059,-0.04097464803802353,0.010862304986970273,0.0041218770943363126,0.029594840846662862,-0.04097464803802353,-0.011270472861252046,0.020320576823756653,0.04140241150239987,-0.00685802974784977,0.005027422534407577,-0.026728262387823776,0.003815769959185644,0.030756031373428527
2025-02-16,107.844401474895,18.758999693573973,7.2786830521455315,4.899782426972352,4.680689461194733,0.0505637780054764,0.013444059569564182,-0.009160732862667942,-0.0009050218242947494,0.08290483532659465,0.037258422447186135,-0.009160732862667942,-0.04097464803802353,-0.011270472861252046,0.020320576823756653,0.04140241150239987,-0.00685802974784977,0.005027422534407577,-0.026728262387823776,0.003815769959185644
2025-02-23,108.51849291654716,18.748095332059336,7.27039925789484,4.928908953033652,4.686920600084153,0.05662981234429498,0.0062311388894196185,-0.010904361514636918,-0.008283794250691479,0.029126526061300062,0.0505637780054764,-0.010904361514636918,-0.009160732862667942,-0.04097464803802353,-0.011270472861252046,0.020320576823756653,0.04140241150239987,-0.00685802974784977,0.005027422534407577,-0.026728262387823776
2025-03-02,109.05923886521047,18.658252380791176,7.269145734919202,4.840612892042846,4.691891210427261,0.060240097273224436,0.004970610343108639,-0.08984295126816022,-0.0012535229756380772,-0.08829606099080589,0.05662981234429498,-0.08984295126816022,-0.010904361514636918,-0.009160732862667942,-0.04097464803802353,-0.011270472861252046,0.020320576823756653,0.04140241150239987,-0.00685802974784977,0.005027422534407577
2025-03-09,109.29691608891083,18.649435467988074,7.280702517959172,4.736722991832797,4.694068179678409,0.06228356834347526,0.0021769692511472982,-0.008816912803101928,0.01155678303997032,-0.10388990021004929,0.060240097273224436,-0.008816912803101928,-0.08984295126816022,-0.010904361514636918,-0.009160732862667942,-0.04097464803802353,-0.011270472861252046,0.020320576823756653,0.04140241150239987,-0.00685802974784977
2025-03-16,108.54546939528728,18.600511586854736,7.280182798261103,4.732609040258483,4.687169157961672,0.05464378290597249,-0.00689902171673662,-0.04892388113333723,-0.0005197196980688545,-0.004113951574313823,0.06228356834347526,-0.04892388113333723,-0.008816912803101928,-0.08984295126816022,-0.010904361514636918,-0.009160732862667942,-0.04097464803802353,-0.011270472861252046,0.020320576823756653,0.04140241150239987
2025-03-23,107.76993332510057,18.63040746635703,7.279259378434659,4.768193416152833,4.679998707930815,0.04792599080867799,-0.007170450030857367,0.029895879502294775,-0.0009234198264440607,0.03558437589435037,0.05464378290597249,0.029895879502294775,-0.04892388113333723,-0.008816912803101928,-0.08984295126816022,-0.010904361514636918,-0.009160732862667942,-0.04097464803802353,-0.011270472861252046,0.020320576823756653
2025-03-30,107.25097255693171,18.64685147943925,7.289023921967154,4.747236768169418,4.675171625896911,0.04334789000915151,-0.004827082033903807,0.01644401308221788,0.009764543532495118,-0.020956647983415344,0.04792599080867799,0.01644401308221788,0.029895879502294775,-0.04892388113333723,-0.008816912803101928,-0.08984295126816022,-0.010904361514636918,-0.009160732862667942,-0.04097464803802353,-0.011270472861252046
2025-04-06,106.67492712503288,18.61087636964752,7.290014306747591,4.652039435443668,4.669786145924385,0.037417705578047133,-0.0053854799725261415,-0.035975109791728244,0.0009903847804366706,-0.09519733272574982,0.04334789000915151,-0.035975109791728244,0.01644401308221788,0.029895879502294775,-0.04892388113333723,-0.008816912803101928,-0.08984295126816022,-0.010904361514636918,-0.009160732862667942,-0.04097464803802353
2025-04-13,106.4106484238015,18.58338693152677,7.287590856944649,4.654741525231657,4.6673056510710245,0.03452098907602874,-0.0024804948533603266,-0.027489438120749554,-0.002423449802941846,0.002702089787988804,0.037417705578047133,-0.027489438120749554,-0.035975109791728244,0.01644401308221788,0.029895879502294775,-0.04892388113333723,-0.008816912803101928,-0.08984295126816022,-0.010904361514636918,-0.009160732862667942
2025-04-20,105.83614813071722,18.603172352744668,7.258357679866567,4.673826560464994,4.6618921258216695,0.02940703781587395,-0.005413525249355011,0.019785421217896726,-0.029233177078082484,0.01908503523333671,0.03452098907602874,0.019785421217896726,-0.027489438120749554,-0.035975109791728244,0.01644401308221788,0.029895879502294775,-0.04892388113333723,-0.008816912803101928,-0.08984295126816022,-0.010904361514636918
