Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30
18921899,ADATA XPG DDR5-7200 CL34 LANCER RGB 블랙 패키지,ADATA XPG LANCER RGB 블랙 패키지,DDR5,7200,CL34,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205000,205000,204990,205000,205000,205000,204990,205000,204950,204910,204870,204810,204720
18921959,ADATA XPG DDR5-7200 CL34 LANCER RGB 화이트 패키지,ADATA XPG LANCER RGB 화이트 패키지,DDR5,7200,CL34,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204750,204750,204750,204750,204750,204750,204750,204750,204750,204750,204750,204750,204750
16795553,ADATA 노트북 DDR4-2666 중고,ADATA 노트북 중고,DDR4,2666,0,4GB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8540,8500,8900,8500,8900,8900,8900,8900,8900,8900,8900,0,8900
11196249,ADATA 노트북 DDR4-3200 CL22,ADATA 노트북,DDR4,3200,CL22,16GB,16,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500
11196249,ADATA 노트북 DDR4-3200 CL22,ADATA 노트북,DDR4,3200,CL22,8GB,8,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000
16707767,ADATA 노트북 DDR5-4800,ADATA 노트북,DDR5,4800,0,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67350,67300,67290,68990,68990,68990,68980,68880,69000,90000,90000,90000,90000
14218337,ANACOMDA DDR4-2666 CL19,ANACOMDA,DDR4,2666,CL19,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41470,41420,41410,41600,33300,33300,33300,33300,33300,33300,33300,33300,33300
14218556,ANACOMDA DDR4-3200 CL16 ET RGB Black 패키지,ANACOMDA ET RGB Black 패키지,DDR4,3200,CL16,16GB(8GX2),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72230,72230,72230,72230,72230,72230,72230,72230,72230,72230,72230,72230,72230
14218607,ANACOMDA DDR4-3200 CL16 ET RGB White 패키지,ANACOMDA ET RGB White 패키지,DDR4,3200,CL16,32GB(16GX2),32,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000,0,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000
14218607,ANACOMDA DDR4-3200 CL16 ET RGB White 패키지,ANACOMDA ET RGB White 패키지,DDR4,3200,CL16,16GB(8GX2),16,96810,96810,96810,96810,96810,96810,96810,96810,96810,96810,96810,96810,96810,96810,96810,96810,96810,96810,0,96810,96810,96810,96810,96810,96810,96810,96810,96810,96810
21639344,ANACOMDA DDR4-3200 CL16 ET RGB White 패키지,ANACOMDA ET RGB White 패키지,DDR4,3200,CL16,32GB(16GX2),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129000,0,0,0,0,0,0,0,0,0,0
21639344,ANACOMDA DDR4-3200 CL16 ET RGB White 패키지,ANACOMDA ET RGB White 패키지,DDR4,3200,CL16,16GB(8GX2),16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96810,0,0,0,0,0,0,0,0,0,0
