Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30
18486497,마이크론 Crucial DDR5-5600 CL46,마이크론 Crucial,DDR5,5600,CL46,16GB,16,53890,53830,56670,56540,56410,56280,56240,56200,56180,56120,56100,56040,57100,57100,57100,57100,0,0,0,0,0,0,0,56580,0,56570,56570,56570,56570,56570
18486497,마이크론 Crucial DDR5-5600 CL46,마이크론 Crucial,DDR5,5600,CL46,8GB,8,32103,33690,33690,33690,33730,33730,33730,33730,33730,33730,33730,33730,33730,33490,33370,33270,0,0,0,0,0,0,0,33570,0,33490,33490,33490,33490,33490
20609090,마이크론 Crucial DDR5-5600 CL46,마이크론 Crucial,DDR5,5600,CL46,32GB,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114470,114210,113940,113930,113930,113810,113540,0,0,0,0,0,0,0
20609090,마이크론 Crucial DDR5-5600 CL46,마이크론 Crucial,DDR5,5600,CL46,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56580,56580,56580,56580,56580,56580,56580,0,0,0,0,0,0,0
20609090,마이크론 Crucial DDR5-5600 CL46,마이크론 Crucial,DDR5,5600,CL46,8GB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33570,33570,33570,33570,33570,33570,33570,0,0,0,0,0,0,0
20369066,마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스,마이크론 Crucial PRO 패키지 대원씨티에스,DDR5,5600,CL46,96GB(48GX2),96,489870,489890,391140,391140,391140,391140,391140,391140,391140,489990,489990,489990,392700,392700,392700,378340,376840,370200,370180,370080,369990,369990,370180,370180,0,370180,370180,370180,370180,370180
20369066,마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스,마이크론 Crucial PRO 패키지 대원씨티에스,DDR5,5600,CL46,64GB(32GX2),64,265340,265340,265340,265340,265340,265340,265340,265340,265340,265340,265340,265340,265340,265340,265340,265340,265340,265330,265320,265220,265130,265130,265330,265330,0,265330,265330,265330,265330,265330
20369066,마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스,마이크론 Crucial PRO 패키지 대원씨티에스,DDR5,5600,CL46,48GB(24GX2),48,202120,202120,189740,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,179000,178990,178980,178900,178800,178700,178680,178580,178460,178360,0,178260,178160,178050,177940,177860
20369066,마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스,마이크론 Crucial PRO 패키지 대원씨티에스,DDR5,5600,CL46,32GB(16GX2),32,124017,126500,126210,125920,125770,125610,125610,125470,127250,127090,127090,126790,127300,127300,127250,126950,126790,126360,126060,126050,126050,125910,125760,125460,0,125160,127090,127090,126950,126790
20356421,마이크론 Crucial DDR5-5600 CL46 PRO 패키지 아스크텍,마이크론 Crucial PRO 패키지 아스크텍,DDR5,5600,CL46,32GB(16GX2),32,124310,127580,127350,127230,0,0,0,0,0,126610,126520,126490,126500,126500,126500,126500,126500,126500,126500,126500,126500,126500,126500,126500,0,0,0,0,0,126500
