Id,Name,ram_model,memory_gen,memory_speed,cl_value,capacity,capacity_gb,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31
30341510,PATRIOT DDR5-7200 CL34 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,7200,CL34,32GB(16GX2),32,0,0,0,0,0,169980,169980,169970,169970,169970,169970,169970,169970,169970,169970,169980,169980,169980,169980,169980,169980,169980,169980,169980,169980,169980,169980,169980
30351236,PATRIOT DDR5-7400 CL36 VIPER VENOM RGB 패키지,PATRIOT VIPER VENOM RGB 패키지,DDR5,7400,CL36,32GB(16GX2),32,0,0,0,0,0,194980,194980,194980,194980,194980,194980,194980,194980,194980,194980,194980,194980,194980,194980,194980,191580,194980,194980,194980,194980,194980,194980,194980
30341525,PATRIOT DDR5-7400 CL36 VIPER VENOM 패키지,PATRIOT VIPER VENOM 패키지,DDR5,7400,CL36,32GB(16GX2),32,0,0,0,0,0,171980,171970,171960,171930,171850,171890,171890,171890,171890,171890,171980,171970,171980,171980,171980,171980,171980,171980,171970,171980,171980,171980,171980
18419801,PATRIOT 노트북 DDR3-1600 CL11,PATRIOT 노트북,DDR3,1600,CL11,8GB,8,0,0,0,0,0,16110,16110,16990,16460,16460,16460,16280,0,0,0,0,0,0,15740,16280,16280,16990,16990,16990,16990,16990,16990,15740
18419801,PATRIOT 노트북 DDR3-1600 CL11,PATRIOT 노트북,DDR3,1600,CL11,4GB,4,0,0,0,0,0,10860,10820,10820,10650,10650,10650,10530,0,0,0,0,0,0,10530,10530,10530,10880,10760,10760,10760,10760,10760,10530
18419798,PATRIOT 노트북 DDR3-1600 CL11,PATRIOT 노트북,DDR3,1600,CL11,8GB,8,0,0,0,0,0,0,0,0,0,0,0,0,16280,16280,16280,16280,16280,16280,0,0,0,0,0,0,0,0,0,0
18419798,PATRIOT 노트북 DDR3-1600 CL11,PATRIOT 노트북,DDR3,1600,CL11,4GB,4,0,0,0,0,0,0,0,0,0,0,0,0,10530,10530,10530,10530,10530,10530,0,0,0,0,0,0,0,0,0,0
27609935,PATRIOT 노트북 DDR4-2666 CL19 SIGNATURE,PATRIOT 노트북 SIGNATURE,DDR4,2666,CL19,32GB,32,0,0,0,0,0,85510,85510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27609935,PATRIOT 노트북 DDR4-2666 CL19 SIGNATURE,PATRIOT 노트북 SIGNATURE,DDR4,2666,CL19,16GB,16,0,0,0,0,0,40040,40040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27609935,PATRIOT 노트북 DDR4-2666 CL19 SIGNATURE,PATRIOT 노트북 SIGNATURE,DDR4,2666,CL19,8GB,8,0,0,0,0,0,67270,67270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27609935,PATRIOT 노트북 DDR4-2666 CL19 SIGNATURE,PATRIOT 노트북 SIGNATURE,DDR4,2666,CL19,4GB,4,0,0,0,0,0,14900,14900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8160415,PATRIOT 노트북 DDR4-2666 CL19 SIGNATURE,PATRIOT 노트북 SIGNATURE,DDR4,2666,CL19,8GB,8,0,0,0,0,0,0,0,67270,67270,67270,67270,67270,67270,67270,67270,0,0,0,0,0,0,0,0,0,0,0,0,0
11445393,PATRIOT 노트북 DDR4-3200 CL22 SIGNATURE,PATRIOT 노트북 SIGNATURE,DDR4,3200,CL22,32GB,32,0,0,0,0,0,74000,74000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11445393,PATRIOT 노트북 DDR4-3200 CL22 SIGNATURE,PATRIOT 노트북 SIGNATURE,DDR4,3200,CL22,16GB,16,0,0,0,0,0,64710,62140,64710,64630,64510,64710,64710,0,0,0,0,63980,64710,64300,64710,64710,64710,64710,64710,64710,64710,64710,64710
11445393,PATRIOT 노트북 DDR4-3200 CL22 SIGNATURE,PATRIOT 노트북 SIGNATURE,DDR4,3200,CL22,8GB,8,0,0,0,0,0,30950,30950,30950,30950,30950,30950,30950,0,0,0,0,30950,30950,30950,30950,30950,30950,30950,30950,30950,30950,30950,30950
11445399,PATRIOT 노트북 DDR4-3200 CL22 SIGNATURE,PATRIOT 노트북 SIGNATURE,DDR4,3200,CL22,32GB,32,0,0,0,0,0,0,0,0,0,0,0,0,135000,135000,135000,135000,0,0,0,0,0,0,0,0,0,0,0,0
11445399,PATRIOT 노트북 DDR4-3200 CL22 SIGNATURE,PATRIOT 노트북 SIGNATURE,DDR4,3200,CL22,16GB,16,0,0,0,0,0,0,0,0,0,0,0,0,64710,64710,64710,63980,0,0,0,0,0,0,0,0,0,0,0,0
11445399,PATRIOT 노트북 DDR4-3200 CL22 SIGNATURE,PATRIOT 노트북 SIGNATURE,DDR4,3200,CL22,8GB,8,0,0,0,0,0,0,0,0,0,0,0,0,30950,30950,30950,30950,0,0,0,0,0,0,0,0,0,0,0,0
