date,chip_perf_group,active_product_n,new_product_n,new_product_share,log_active_product_n,adj_n,bridge_n,bridge_ratio
2024-12-01,mid,315,3.0,0.009523809523809525,5.755742213586912,315,3,0.009523809523809525
2024-12-08,high,358,1.0,0.002793296089385475,5.883322388488279,358,0,0.0
2024-12-08,low,45,1.0,0.022222222222222223,3.828641396489095,45,0,0.0
2024-12-08,mid,314,1.0,0.0031847133757961785,5.752572638825633,314,0,0.0
2024-12-15,high,349,1.0,0.0028653295128939827,5.857933154483459,349,0,0.0
2024-12-15,low,40,0.0,0.0,3.713572066704308,40,0,0.0
2024-12-15,mid,310,2.0,0.0064516129032258064,5.739792912179234,310,2,0.0064516129032258064
2024-12-22,high,348,5.0,0.014367816091954023,5.855071922202427,348,2,0.005747126436781609
2024-12-22,low,38,0.0,0.0,3.6635616461296463,38,1,0.02631578947368421
2024-12-22,mid,300,0.0,0.0,5.707110264748875,300,1,0.0033333333333333335
2024-12-29,high,338,1.0,0.0029585798816568047,5.82600010738045,338,1,0.0029585798816568047
2024-12-29,low,37,0.0,0.0,3.6375861597263857,37,1,0.02702702702702703
2024-12-29,mid,299,4.0,0.013377926421404682,5.703782474656201,299,5,0.016722408026755852
2025-01-05,high,330,1.0,0.0030303030303030303,5.802118375377063,330,1,0.0030303030303030303
2025-01-05,low,39,2.0,0.05128205128205128,3.6888794541139363,39,2,0.05128205128205128
2025-01-05,mid,293,1.0,0.0034129692832764505,5.683579767338681,293,1,0.0034129692832764505
2025-01-12,high,309,4.0,0.012944983818770227,5.736572297479192,309,1,0.003236245954692557
2025-01-12,low,40,1.0,0.025,3.713572066704308,40,0,0.0
2025-01-12,mid,292,1.0,0.003424657534246575,5.680172609017068,292,1,0.003424657534246575
2025-01-19,high,311,7.0,0.022508038585209004,5.7430031878094825,311,1,0.003215434083601286
2025-01-19,low,43,2.0,0.046511627906976744,3.784189633918261,43,2,0.046511627906976744
2025-01-19,mid,284,8.0,0.028169014084507043,5.652489180268651,284,0,0.0
2025-01-26,high,310,3.0,0.00967741935483871,5.739792912179234,310,1,0.0032258064516129032
2025-01-26,low,39,0.0,0.0,3.6888794541139363,39,0,0.0
2025-01-26,mid,273,2.0,0.007326007326007326,5.6131281063880705,273,2,0.007326007326007326
2025-02-02,high,309,4.0,0.012944983818770227,5.736572297479192,309,0,0.0
2025-02-02,low,39,0.0,0.0,3.6888794541139363,39,0,0.0
2025-02-02,mid,274,6.0,0.021897810218978103,5.616771097666572,274,0,0.0
2025-02-09,high,286,0.0,0.0,5.659482215759621,286,0,0.0
2025-02-09,low,38,0.0,0.0,3.6635616461296463,38,0,0.0
2025-02-09,mid,259,0.0,0.0,5.560681631015528,259,0,0.0
2025-02-16,high,270,11.0,0.040740740740740744,5.602118820879701,270,4,0.014814814814814815
2025-02-16,low,40,0.0,0.0,3.713572066704308,40,1,0.025
2025-02-16,mid,258,0.0,0.0,5.556828061699537,258,6,0.023255813953488372
2025-02-23,high,231,9.0,0.03896103896103896,5.44673737166631,231,0,0.0
2025-02-23,low,37,0.0,0.0,3.6375861597263857,37,0,0.0
2025-02-23,mid,256,8.0,0.03125,5.54907608489522,256,3,0.01171875
2025-03-02,high,208,15.0,0.07211538461538461,5.342334251964811,208,4,0.019230769230769232
2025-03-02,low,34,2.0,0.058823529411764705,3.5553480614894135,34,0,0.0
2025-03-02,mid,244,6.0,0.02459016393442623,5.501258210544727,244,2,0.00819672131147541
2025-03-09,high,179,45.0,0.25139664804469275,5.19295685089021,179,2,0.0111731843575419
2025-03-09,low,30,1.0,0.03333333333333333,3.4339872044851463,30,0,0.0
2025-03-09,mid,222,6.0,0.02702702702702703,5.407171771460119,222,2,0.009009009009009009
2025-03-16,high,180,17.0,0.09444444444444444,5.198497031265826,180,6,0.03333333333333333
2025-03-16,low,28,0.0,0.0,3.367295829986474,28,0,0.0
2025-03-16,mid,220,7.0,0.031818181818181815,5.3981627015177525,220,0,0.0
2025-03-23,high,218,40.0,0.1834862385321101,5.389071729816501,218,2,0.009174311926605505
2025-03-23,low,25,0.0,0.0,3.258096538021482,25,0,0.0
