date,group,gpu_ret,btc_krw_ret_l0,time_regime,btc_vol_regime
2025-08-17,low,0.0026446100246825,0.022744695735323,late,low_btc_vol
2025-08-24,high,-0.0016438708396143,-0.036364343164351,late,low_btc_vol
2025-08-24,mid,-0.0025315182937155,-0.036364343164351,late,low_btc_vol
2025-08-24,low,0.0005322856874377,-0.036364343164351,late,low_btc_vol
2025-08-31,high,-0.0028206073852226,-0.038492375794501,late,low_btc_vol
2025-08-31,low,-0.0029311605970872,-0.038492375794501,late,low_btc_vol
2025-08-31,mid,-0.0045687222158408,-0.038492375794501,late,low_btc_vol
2025-09-07,low,-0.0006700111654182,0.0050728600367051,late,low_btc_vol
2025-09-07,high,-0.0017586975931657,0.0050728600367051,late,low_btc_vol
2025-09-07,mid,-0.0019065694481642,0.0050728600367051,late,low_btc_vol
2025-09-14,low,0.0009313164124782,0.03239089067781,late,low_btc_vol
2025-09-14,high,-0.0010886379496746,0.03239089067781,late,low_btc_vol
2025-09-14,mid,-0.0013465947577303,0.03239089067781,late,low_btc_vol
2025-09-21,high,-5.618341206526994e-05,0.0141465433649408,late,low_btc_vol
2025-09-21,mid,-0.0009942477667894,0.0141465433649408,late,low_btc_vol
2025-09-21,low,0.0001642922496528,0.0141465433649408,late,low_btc_vol
2025-09-28,mid,-0.0013150055949195,-0.0322120044107876,late,low_btc_vol
2025-09-28,low,-0.0005264560900616,-0.0322120044107876,late,low_btc_vol
2025-09-28,high,-0.000599564032589,-0.0322120044107876,late,low_btc_vol
2025-10-05,mid,-0.0032533156985485,0.0716441604951256,late,low_btc_vol
2025-10-05,low,-0.0039299772280874,0.0716441604951256,late,low_btc_vol
2025-10-05,high,-0.0013062355358254,0.0716441604951256,late,low_btc_vol
2025-10-12,mid,-0.0016774347451734,0.0055570409023602,late,low_btc_vol
2025-10-12,high,-0.0010261418913521,0.0055570409023602,late,low_btc_vol
2025-10-12,low,-0.0005310683773872,0.0055570409023602,late,low_btc_vol
2025-10-19,mid,0.005122057937543,-0.0755263303703337,late,low_btc_vol
2025-10-19,high,0.0050103867127941,-0.0755263303703337,late,low_btc_vol
2025-10-19,low,0.0060579929381354,-0.0755263303703337,late,low_btc_vol
2025-10-26,high,0.0011086992823998,0.0134425332865646,late,low_btc_vol
